"","A1","B2","C3","D4","E5","F6","G7","H8","I9","J10","K11","L12","M13","N14","O15","P16","Q17","R18","S19","T20","U21","V22","W23","X24","Y25","Z26","NA27","NA28","NA29","NA30","NA31","NA32","NA33","NA34","NA35","NA36","NA37","NA38","NA39","NA40","NA41","NA42","NA43","NA44","NA45","NA46","NA47","NA48","NA49","NA50","NA51","NA52","NA53","NA54","NA55","NA56","NA57","NA58","NA59","NA60","NA61"
"1","P10","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"2","Automóvil","817","77.7","817","100","0","0","0","0","0","NaN","0","NaN","354","83.5","463","73.7","0","NaN","302","87.3","262","82.6","169","72.2","68","59.1","16","40","0","NaN","119","67.6","279","76.4","222","81.9","197","82.1","165","74.3","137","86.2","131","84.5","128","78.5","131","76.6","125","68.7","363","79.3","64","76.2","132","80","246","73.9","12","100"
"3","Moto / Motocicleta","129","12.3","0","0","129","100","0","0","0","NaN","0","NaN","33","7.8","96","15.3","0","NaN","11","3.2","29","9.1","40","17.1","30","26.1","19","47.5","0","NaN","31","17.6","64","17.5","20","7.4","14","5.8","38","17.1","6","3.8","9","5.8","15","9.2","22","12.9","39","21.4","48","10.5","12","14.3","16","9.7","53","15.9","0","0"
"4","Ambas","106","10.1","0","0","0","0","106","100","0","NaN","0","NaN","37","8.7","69","11","0","NaN","33","9.5","26","8.2","25","10.7","17","14.8","5","12.5","0","NaN","26","14.8","22","6","29","10.7","29","12.1","19","8.6","16","10.1","15","9.7","20","12.3","18","10.5","18","9.9","47","10.3","8","9.5","17","10.3","34","10.2","0","0"
"5","Otro (Camión de carga)","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"6","No cuenta con ninguno","0","0","0","0","0","0","0","0","0","NaN","0","NaN","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","NaN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"7","Total","1052","100","817","100","129","100","106","100","0","NaN","0","NaN","424","100","628","100","0","NaN","346","100","317","100","234","100","115","100","40","100","0","NaN","176","100","365","100","271","100","240","100","222","100","159","100","155","100","163","100","171","100","182","100","458","100","84","100","165","100","333","100","12","100"
"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9","P15NumAutos","Total_Total_f","Total_Total_pct","P10_Automóvil_f","P10_Automóvil_pct","P10_Moto / Motocicleta_f","P10_Moto / Motocicleta_pct","P10_Ambas_f","P10_Ambas_pct","P10_Otro (Camión de carga)_f","P10_Otro (Camión de carga)_pct","P10_No cuenta con ninguno_f","P10_No cuenta con ninguno_pct","F1Genero_Femenino_f","F1Genero_Femenino_pct","F1Genero_Masculino_f","F1Genero_Masculino_pct","NSE_A/B_f","NSE_A/B_pct","NSE_C+_f","NSE_C+_pct","NSE_C_f","NSE_C_pct","NSE_C-_f","NSE_C-_pct","NSE_D+_f","NSE_D+_pct","NSE_D_f","NSE_D_pct","NSE_E_f","NSE_E_pct","Edad_Rango_18 - 24_f","Edad_Rango_18 - 24_pct","Edad_Rango_25 - 34_f","Edad_Rango_25 - 34_pct","Edad_Rango_35 - 44_f","Edad_Rango_35 - 44_pct","Edad_Rango_45 - 55_f","Edad_Rango_45 - 55_pct","Plaza_Ciudad de México_f","Plaza_Ciudad de México_pct","Plaza_Tijuana_f","Plaza_Tijuana_pct","Plaza_Monterrey_f","Plaza_Monterrey_pct","Plaza_Guadalajara_f","Plaza_Guadalajara_pct","Plaza_Puebla_f","Plaza_Puebla_pct","Plaza_Mérida_f","Plaza_Mérida_pct","EdocivilHijos_Casado con hijos_f","EdocivilHijos_Casado con hijos_pct","EdocivilHijos_Casado sin hijos_f","EdocivilHijos_Casado sin hijos_pct","EdocivilHijos_Soltero con Hijos_f","EdocivilHijos_Soltero con Hijos_pct","EdocivilHijos_Soltero sin HIjos_f","EdocivilHijos_Soltero sin HIjos_pct","EdocivilHijos_No contestó_f","EdocivilHijos_No contestó_pct"
"10","1","698","85.4","698","85.4","0","NaN","0","NaN","0","NaN","0","NaN","278","78.5","420","90.7","0","NaN","242","80.1","225","85.9","153","90.5","65","95.6","13","81.2","0","NaN","90","75.6","247","88.5","193","86.9","168","85.3","144","87.3","98","71.5","124","94.7","117","91.4","119","90.8","96","76.8","305","84","59","92.2","119","90.2","205","83.3","10","83.3"
